subscriber_id,signup_date,plan,country,acquisition_channel,campaign_id,campaign_name,campaign_start_date,campaign_end_date,primary_device,age,signup_show,show_genre,lifecycle_stage,churn_date,monthly_spend_usd,nps_score,is_bundled,has_showtime_add_on
SUB00016,02/07/26,Annual Premium,US,Social,CMP016,P+_Instagram_Tracker,03/01/26,04/30/26,Smart TV,27,Mayor of Kingstown,Drama,Active,,12.54,5.5,False,False
SUB00017,02/03/26,Paramount+ with Showtime,CA,Streaming,CMP006,P+_Stream_PreRoll_Drama,01/12/26,04/15/26,Desktop,42,Coldwater,Drama,Churned,03/06/26,12.22,,True,True
SUB00018,02/03/26,Annual Essential,CA,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Fire TV,32,Tulsa King,Drama,At-Risk,,7.21,5.0,True,False
SUB00019,02/26/26,Paramount+ with Showtime,US,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Roku,52,The Guest,Thriller,At-Risk,,13.23,8.5,True,True
SUB00020,02/02/26,Essential,CA,Streaming,CMP006,P+_Stream_PreRoll_Drama,01/12/26,04/15/26,Desktop,33,Tulsa King,Drama,Active,,14.69,7.2,False,False
SUB00021,02/09/26,Paramount+ with Showtime,AU,Radio,CMP004,P+_Radio_DriveTime_Q1,01/06/26,03/15/26,Roku,31,Coldwater,Drama,Active,,12.71,6.1,True,True
SUB00022,02/06/26,Annual Premium,US,Social,CMP014,P+_Meta_Landman_Video,01/10/26,03/10/26,Fire TV,21,Dutton Ranch,Drama,Active,,12.91,8.3,False,False
SUB00023,02/10/26,Paramount+ with Showtime,AU,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Roku,36,South Park,Comedy,Active,,14.29,8.7,True,True
SUB00024,02/19/26,Annual Premium,UK,Social,CMP014,P+_Meta_Landman_Video,01/10/26,03/10/26,Mobile,28,Mission Impossible,Action,At-Risk,,13.01,7.3,True,False
SUB00025,02/03/26,Essential,US,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Smart TV,37,Sonic 3,Family,New,,11.51,9.9,True,False
SUB00026,02/09/26,Annual Essential,US,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Smart TV,49,Landman,Drama,Active,,7.56,6.7,False,False
SUB00027,02/01/26,Annual Essential,US,TV,CMP001,P+_TV_BrandAwareness_Q1,01/05/26,02/28/26,Roku,39,Boston Blue,Procedural,At-Risk,,7.16,2.1,False,False
SUB00028,02/08/26,Annual Premium,UK,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Smart TV,42,Watson,Procedural,Active,,11.54,9.8,True,False
SUB00029,02/04/26,Essential,AU,Digital,CMP011,P+_Digital_TulsaKing,02/15/26,04/01/26,Tablet,26,Dutton Ranch,Drama,At-Risk,,14.91,5.4,False,False
SUB00030,02/07/26,Essential,US,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Mobile,42,Elsbeth,Procedural,New,,14.08,5.3,True,False
SUB00031,02/25/26,Annual Premium,US,Streaming,CMP007,P+_Stream_UFC_Promo,02/10/26,03/20/26,Fire TV,39,Yellowjackets,Drama,Active,,11.35,,False,True
SUB00032,02/05/26,Annual Premium,US,TV,CMP003,P+_TV_Landman_Launch,02/01/26,03/31/26,Smart TV,33,Dutton Ranch,Drama,At-Risk,,9.86,5.6,True,False
SUB00033,02/12/26,Annual Premium,CA,Radio,CMP004,P+_Radio_DriveTime_Q1,01/06/26,03/15/26,Desktop,42,Boston Blue,Procedural,Active,,11.63,7.1,False,False
SUB00034,02/26/26,Essential,US,Social,CMP014,P+_Meta_Landman_Video,01/10/26,03/10/26,Desktop,34,Mission Impossible,Action,Reactivated,,13.48,3.4,False,False
SUB00035,02/09/26,Annual Premium,US,Digital,CMP009,P+_SEM_BrandSearch,01/01/26,04/30/26,Tablet,33,Dexter,Thriller,At-Risk,,11.47,4.7,False,False
SUB00036,02/08/26,Annual Essential,US,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Desktop,43,The Curse,Comedy,Active,,7.63,,True,False
SUB00037,02/01/26,Essential,US,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Tablet,41,Love & Hip Hop Miami,Reality,Active,,12.44,,False,False
SUB00038,02/20/26,Annual Premium,US,Streaming,CMP007,P+_Stream_UFC_Promo,02/10/26,03/20/26,Fire TV,37,Yellowjackets,Drama,Active,,13.53,6.6,True,False
SUB00039,02/12/26,Essential,AU,Radio,CMP004,P+_Radio_DriveTime_Q1,01/06/26,03/15/26,Tablet,35,Yellowjackets,Drama,Active,,13.81,7.2,True,False
SUB00040,02/22/26,Annual Premium,UK,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Tablet,21,UFC,Sports,At-Risk,,12.82,9.0,False,False
SUB00041,02/20/26,Paramount+ with Showtime,US,Radio,CMP004,P+_Radio_DriveTime_Q1,01/06/26,03/15/26,Roku,49,South Park,Comedy,Active,,15.43,4.5,False,True
SUB00042,02/22/26,Paramount+ with Showtime,AU,Streaming,CMP007,P+_Stream_UFC_Promo,02/10/26,03/20/26,Tablet,18,Ghosts,Comedy,Active,,16.1,7.8,False,True
SUB00043,02/20/26,Paramount+ with Showtime,UK,Digital,CMP011,P+_Digital_TulsaKing,02/15/26,04/01/26,Roku,24,NCIS,Procedural,At-Risk,,14.34,5.3,False,True
SUB00044,02/20/26,Annual Premium,MX,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Tablet,30,Paw Patrol,Family,Active,,9.52,3.1,True,True
SUB00045,02/23/26,Essential,US,Digital,CMP011,P+_Digital_TulsaKing,02/15/26,04/01/26,Smart TV,23,South Park,Comedy,Active,,13.16,,False,False
SUB00046,02/15/26,Annual Essential,MX,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Desktop,59,The Curse,Comedy,Active,,5.56,,True,False
SUB00047,02/17/26,Paramount+ with Showtime,US,Social,CMP016,P+_Instagram_Tracker,03/01/26,04/30/26,Smart TV,49,Coldwater,Drama,Active,,14.32,3.8,False,True
SUB00048,02/25/26,Annual Premium,US,Radio,CMP005,P+_Radio_Weekend_Q2,03/01/26,04/30/26,Mobile,56,Coldwater,Drama,Churned,04/25/26,10.31,3.0,True,False
SUB00049,02/05/26,Annual Essential,US,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Mobile,41,Elsbeth,Procedural,Active,,6.2,8.2,True,False
SUB00050,02/02/26,Paramount+ with Showtime,US,Radio,CMP005,P+_Radio_Weekend_Q2,03/01/26,04/30/26,Fire TV,19,Tracker,Action,Active,,14.2,7.6,False,True
SUB00051,02/10/26,Paramount+ with Showtime,UK,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Mobile,41,South Park,Comedy,Active,,14.03,7.3,False,True
SUB00052,02/01/26,Annual Premium,UK,TV,CMP002,P+_TV_NFL_Promo,01/10/26,02/15/26,Smart TV,41,The Offer,Drama,At-Risk,,11.66,7.1,False,False
SUB00053,02/19/26,Annual Essential,MX,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Roku,64,NFL,Sports,Churned,04/06/26,4.34,7.5,False,False
SUB00054,02/25/26,Essential,US,TV,CMP002,P+_TV_NFL_Promo,01/10/26,02/15/26,Roku,47,South Park,Comedy,Active,,14.34,4.4,True,False
SUB00055,02/02/26,Paramount+ with Showtime,UK,TV,CMP003,P+_TV_Landman_Launch,02/01/26,03/31/26,Tablet,54,The Guest,Thriller,Churned,03/06/26,13.82,4.7,True,True
SUB00056,02/05/26,Essential,UK,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Fire TV,43,Paw Patrol,Family,Reactivated,,16.45,8.3,False,False
SUB00057,02/23/26,Essential,UK,TV,CMP003,P+_TV_Landman_Launch,02/01/26,03/31/26,Mobile,34,Lioness,Thriller,Active,,13.06,,True,False
SUB00058,02/13/26,Annual Premium,UK,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Smart TV,26,Boston Blue,Procedural,Active,,12.33,6.3,False,False
SUB00059,02/26/26,Essential,CA,Digital,CMP009,P+_SEM_BrandSearch,01/01/26,04/30/26,Roku,41,Boston Blue,Procedural,Active,,14.02,8.3,False,False
SUB00060,02/27/26,Annual Premium,US,TV,CMP002,P+_TV_NFL_Promo,01/10/26,02/15/26,Mobile,58,Love & Hip Hop Miami,Reality,Active,,14.53,5.9,False,True
SUB00061,02/09/26,Paramount+ with Showtime,US,TV,CMP003,P+_TV_Landman_Launch,02/01/26,03/31/26,Mobile,46,The Agency,Thriller,Active,,13.16,4.6,False,True
SUB00062,02/09/26,Annual Premium,MX,TV,CMP001,P+_TV_BrandAwareness_Q1,01/05/26,02/28/26,Desktop,44,Elsbeth,Procedural,Churned,03/19/26,9.32,6.0,True,False
SUB00063,02/12/26,Paramount+ with Showtime,CA,TV,CMP001,P+_TV_BrandAwareness_Q1,01/05/26,02/28/26,Tablet,44,Ghosts,Comedy,Active,,12.65,6.3,True,True
SUB00064,02/14/26,Paramount+ with Showtime,AU,Digital,CMP011,P+_Digital_TulsaKing,02/15/26,04/01/26,Tablet,18,Paw Patrol,Family,New,,14.24,5.5,True,True
SUB00065,02/08/26,Annual Essential,CA,Digital,CMP011,P+_Digital_TulsaKing,02/15/26,04/01/26,Mobile,40,The Madison,Drama,New,,6.85,3.8,True,False
SUB00066,02/09/26,Annual Essential,US,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Tablet,43,Tracker,Action,Active,,7.73,4.6,False,False
SUB00067,02/24/26,Annual Essential,US,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Smart TV,38,The Agency,Thriller,Reactivated,,7.3,4.0,True,False
SUB00068,02/09/26,Annual Essential,CA,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Roku,45,Lioness,Thriller,Active,,8.07,,True,True
SUB00069,02/16/26,Essential,US,Radio,CMP005,P+_Radio_Weekend_Q2,03/01/26,04/30/26,Mobile,18,Boomerang,Comedy,Churned,03/28/26,12.46,4.4,True,True
SUB00070,02/02/26,Essential,US,TV,CMP003,P+_TV_Landman_Launch,02/01/26,03/31/26,Fire TV,45,Criminal Minds,Procedural,Churned,02/21/26,16.59,,False,False
SUB00071,02/25/26,Annual Essential,US,Radio,CMP004,P+_Radio_DriveTime_Q1,01/06/26,03/15/26,Fire TV,45,Dexter,Thriller,New,,8.79,9.0,False,False
SUB00072,02/04/26,Paramount+ with Showtime,US,Social,CMP016,P+_Instagram_Tracker,03/01/26,04/30/26,Desktop,47,Tulsa King,Drama,Active,,14.91,5.8,False,True
SUB00073,02/15/26,Essential,US,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Fire TV,27,The Agency,Thriller,Active,,13.5,6.0,False,False
SUB00074,02/09/26,Paramount+ with Showtime,US,Streaming,CMP006,P+_Stream_PreRoll_Drama,01/12/26,04/15/26,Mobile,39,The Curse,Comedy,Active,,12.22,10.0,True,True
SUB00075,02/03/26,Annual Essential,CA,Radio,CMP004,P+_Radio_DriveTime_Q1,01/06/26,03/15/26,Desktop,47,The Offer,Drama,Active,,6.82,,False,False
SUB00076,02/17/26,Annual Premium,CA,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Tablet,53,The Curse,Comedy,Active,,10.78,6.6,False,False
SUB00077,02/22/26,Paramount+ with Showtime,CA,TV,CMP001,P+_TV_BrandAwareness_Q1,01/05/26,02/28/26,Mobile,27,Watson,Procedural,Active,,12.62,8.0,True,True
SUB00078,02/06/26,Annual Essential,UK,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Tablet,41,The Agency,Thriller,New,,7.52,6.6,False,False
SUB00079,02/28/26,Paramount+ with Showtime,AU,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Desktop,68,Tracker,Action,Active,,12.57,7.9,True,True
SUB00080,02/09/26,Paramount+ with Showtime,US,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Desktop,40,Landman,Drama,Churned,03/11/26,13.63,,False,True
SUB00081,02/20/26,Annual Essential,AU,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Mobile,26,The Curse,Comedy,Churned,04/19/26,6.9,6.2,False,False
SUB00082,02/16/26,Paramount+ with Showtime,US,Streaming,CMP008,P+_Stream_YellowJackets,01/20/26,02/28/26,Smart TV,50,NCIS,Procedural,Active,,13.84,,False,True
SUB00083,02/15/26,Annual Premium,CA,Radio,CMP004,P+_Radio_DriveTime_Q1,01/06/26,03/15/26,Mobile,31,Dutton Ranch,Drama,Active,,12.91,5.1,False,True
SUB00084,02/08/26,Annual Essential,US,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Tablet,43,Elsbeth,Procedural,New,,8.36,3.7,False,False
SUB00085,02/11/26,Essential,US,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Smart TV,67,NFL,Sports,At-Risk,,13.37,8.8,False,False
SUB00086,02/18/26,Paramount+ with Showtime,AU,Streaming,CMP007,P+_Stream_UFC_Promo,02/10/26,03/20/26,Mobile,31,Boomerang,Comedy,Active,,13.79,9.3,False,True
SUB00087,02/19/26,Paramount+ with Showtime,MX,TV,CMP001,P+_TV_BrandAwareness_Q1,01/05/26,02/28/26,Desktop,44,Paw Patrol,Family,Reactivated,,12.01,8.2,False,True
SUB00088,02/05/26,Annual Premium,US,Streaming,CMP008,P+_Stream_YellowJackets,01/20/26,02/28/26,Mobile,37,South Park,Comedy,New,,10.43,0.0,False,False
SUB00089,02/24/26,Essential,US,Social,CMP014,P+_Meta_Landman_Video,01/10/26,03/10/26,Tablet,34,Coldwater,Drama,Churned,03/15/26,13.66,3.8,True,False
SUB00090,02/28/26,Annual Essential,US,TV,CMP003,P+_TV_Landman_Launch,02/01/26,03/31/26,Tablet,18,Criminal Minds,Procedural,Active,,7.4,5.5,False,False
SUB00091,02/08/26,Annual Premium,CA,TV,CMP002,P+_TV_NFL_Promo,01/10/26,02/15/26,Smart TV,58,1923,Drama,Active,,12.14,3.3,True,False
SUB00092,02/01/26,Paramount+ with Showtime,US,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Mobile,38,Coldwater,Drama,Churned,02/13/26,12.7,4.3,True,True
SUB00093,02/06/26,Essential,US,TV,CMP001,P+_TV_BrandAwareness_Q1,01/05/26,02/28/26,Roku,40,Dexter,Thriller,Active,,14.14,,False,False
SUB00094,02/09/26,Annual Premium,CA,Radio,CMP005,P+_Radio_Weekend_Q2,03/01/26,04/30/26,Desktop,32,Mission Impossible,Action,Churned,04/02/26,10.34,,True,False
SUB00095,02/21/26,Annual Premium,UK,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Smart TV,60,Coldwater,Drama,Active,,14.28,3.8,False,False
SUB00096,02/19/26,Annual Essential,US,Streaming,CMP007,P+_Stream_UFC_Promo,02/10/26,03/20/26,Roku,18,The Guest,Thriller,Reactivated,,7.36,6.2,True,False
SUB00097,02/25/26,Annual Essential,US,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Desktop,41,Tulsa King,Drama,Active,,7.41,5.1,False,False
SUB00098,02/02/26,Annual Essential,US,Digital,CMP011,P+_Digital_TulsaKing,02/15/26,04/01/26,Roku,31,NFL,Sports,At-Risk,,8.22,5.2,False,False
SUB00099,02/06/26,Paramount+ with Showtime,CA,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Roku,42,NCIS,Procedural,Active,,14.1,5.0,True,True
SUB00100,02/26/26,Annual Premium,AU,Streaming,CMP007,P+_Stream_UFC_Promo,02/10/26,03/20/26,Smart TV,42,Elsbeth,Procedural,New,,12.77,8.3,False,False
SUB00101,02/28/26,Annual Premium,AU,TV,CMP002,P+_TV_NFL_Promo,01/10/26,02/15/26,Fire TV,26,The Offer,Drama,Active,,12.43,5.3,False,False
SUB00102,02/19/26,Paramount+ with Showtime,MX,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Tablet,46,The Curse,Comedy,New,,12.87,6.5,False,True
SUB00103,02/21/26,Annual Essential,US,Digital,CMP009,P+_SEM_BrandSearch,01/01/26,04/30/26,Roku,55,Ghosts,Comedy,New,,8.31,5.2,False,False
SUB00104,02/08/26,Annual Premium,US,TV,CMP001,P+_TV_BrandAwareness_Q1,01/05/26,02/28/26,Fire TV,35,Landman,Drama,Active,,12.23,6.0,True,False
SUB00105,02/21/26,Essential,US,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Mobile,49,Dexter,Thriller,At-Risk,,15.61,,False,False
SUB00106,02/28/26,Paramount+ with Showtime,US,Streaming,CMP006,P+_Stream_PreRoll_Drama,01/12/26,04/15/26,Fire TV,38,Mayor of Kingstown,Drama,At-Risk,,13.97,8.0,False,True
SUB00107,02/03/26,Annual Premium,US,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Tablet,42,Elsbeth,Procedural,Active,,11.45,6.2,True,False
SUB00108,02/03/26,Annual Essential,CA,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Fire TV,46,The Chi,Drama,At-Risk,,9.23,4.7,False,False
SUB00109,02/18/26,Annual Essential,CA,Radio,CMP004,P+_Radio_DriveTime_Q1,01/06/26,03/15/26,Tablet,23,Dutton Ranch,Drama,At-Risk,,7.48,3.8,True,False
SUB00110,02/02/26,Essential,CA,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Roku,49,The Chi,Drama,Active,,14.67,,False,True
SUB00111,02/15/26,Paramount+ with Showtime,US,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Desktop,37,Lioness,Thriller,Active,,14.05,4.5,False,True
SUB00112,02/14/26,Annual Premium,US,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Smart TV,28,The Madison,Drama,Active,,11.18,8.6,True,False
SUB00113,02/20/26,Paramount+ with Showtime,UK,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Fire TV,26,Mission Impossible,Action,Active,,14.18,5.8,True,True
SUB00114,02/04/26,Annual Essential,US,Social,CMP016,P+_Instagram_Tracker,03/01/26,04/30/26,Smart TV,30,Love & Hip Hop Miami,Reality,Active,,7.62,4.7,False,True
SUB00115,02/14/26,Annual Essential,MX,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Roku,41,The Offer,Drama,Active,,5.69,5.4,False,False
SUB00116,02/03/26,Paramount+ with Showtime,US,Streaming,CMP006,P+_Stream_PreRoll_Drama,01/12/26,04/15/26,Tablet,41,The Guest,Thriller,Reactivated,,12.19,3.3,True,True
SUB00117,02/28/26,Annual Essential,US,Radio,CMP005,P+_Radio_Weekend_Q2,03/01/26,04/30/26,Smart TV,27,Tracker,Action,Active,,7.73,6.0,False,False
SUB00118,02/28/26,Essential,US,Streaming,CMP006,P+_Stream_PreRoll_Drama,01/12/26,04/15/26,Tablet,58,Love & Hip Hop Miami,Reality,Active,,13.93,,True,False
SUB00119,02/20/26,Annual Premium,US,Streaming,CMP008,P+_Stream_YellowJackets,01/20/26,02/28/26,Smart TV,37,Yellowjackets,Drama,Active,,11.63,4.3,False,False
SUB00120,02/12/26,Annual Essential,CA,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Mobile,33,The Agency,Thriller,Active,,6.08,,True,False
SUB00121,02/14/26,Annual Premium,CA,TV,CMP002,P+_TV_NFL_Promo,01/10/26,02/15/26,Fire TV,45,The Madison,Drama,Active,,11.27,9.9,True,False
SUB00122,02/22/26,Essential,US,Streaming,CMP006,P+_Stream_PreRoll_Drama,01/12/26,04/15/26,Smart TV,43,Tulsa King,Drama,New,,13.46,,True,False
SUB00123,02/12/26,Paramount+ with Showtime,US,Social,CMP014,P+_Meta_Landman_Video,01/10/26,03/10/26,Desktop,41,Mayor of Kingstown,Drama,Active,,14.27,6.5,False,True
SUB00124,02/02/26,Paramount+ with Showtime,CA,TV,CMP003,P+_TV_Landman_Launch,02/01/26,03/31/26,Smart TV,27,Landman,Drama,At-Risk,,13.63,,True,True
SUB00125,02/06/26,Paramount+ with Showtime,US,Radio,CMP005,P+_Radio_Weekend_Q2,03/01/26,04/30/26,Tablet,58,UFC,Sports,Active,,16.02,,True,True
SUB00126,02/01/26,Annual Essential,US,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Mobile,27,1923,Drama,Churned,03/12/26,6.58,8.4,False,False
SUB00127,02/06/26,Annual Premium,CA,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Desktop,68,Dexter,Thriller,At-Risk,,10.59,4.7,True,False
SUB00128,02/03/26,Annual Essential,AU,Streaming,CMP008,P+_Stream_YellowJackets,01/20/26,02/28/26,Fire TV,29,RuPaul Drag Race All Stars,Reality,Active,,6.41,1.8,True,False
SUB00129,02/25/26,Paramount+ with Showtime,US,Streaming,CMP006,P+_Stream_PreRoll_Drama,01/12/26,04/15/26,Roku,27,UFC,Sports,Active,,14.3,6.8,False,True
SUB00130,02/06/26,Annual Essential,AU,Radio,CMP004,P+_Radio_DriveTime_Q1,01/06/26,03/15/26,Roku,64,Watson,Procedural,Active,,7.37,8.6,True,False
SUB00131,02/15/26,Annual Essential,US,Social,CMP014,P+_Meta_Landman_Video,01/10/26,03/10/26,Smart TV,25,Ghosts,Comedy,Active,,6.34,,False,False
SUB00132,02/15/26,Paramount+ with Showtime,US,Streaming,CMP007,P+_Stream_UFC_Promo,02/10/26,03/20/26,Smart TV,63,Love & Hip Hop Miami,Reality,Active,,13.77,,True,True
SUB00133,02/18/26,Paramount+ with Showtime,US,Digital,CMP011,P+_Digital_TulsaKing,02/15/26,04/01/26,Fire TV,18,Love & Hip Hop Miami,Reality,At-Risk,,13.95,9.5,False,True
SUB00134,02/04/26,Annual Essential,US,Social,CMP015,P+_TikTok_Ghosts,02/05/26,04/05/26,Mobile,55,The Guest,Thriller,Active,,7.12,3.0,False,False
SUB00135,02/17/26,Annual Premium,UK,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Smart TV,38,Landman,Drama,At-Risk,,11.32,6.6,True,False
SUB00136,02/21/26,Essential,US,Streaming,CMP008,P+_Stream_YellowJackets,01/20/26,02/28/26,Desktop,46,Tracker,Action,Active,,13.97,4.2,False,True
SUB00137,02/22/26,Paramount+ with Showtime,CA,TV,CMP003,P+_TV_Landman_Launch,02/01/26,03/31/26,Tablet,39,Mission Impossible,Action,Active,,14.07,,True,True
SUB00138,02/21/26,Paramount+ with Showtime,UK,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Mobile,22,MobLand,Drama,Active,,14.71,3.1,True,True
SUB00139,02/01/26,Annual Premium,CA,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Mobile,42,MobLand,Drama,Churned,03/06/26,11.66,4.9,False,False
SUB00140,02/17/26,Annual Premium,US,TV,CMP001,P+_TV_BrandAwareness_Q1,01/05/26,02/28/26,Roku,39,NFL,Sports,Active,,11.58,9.1,True,False
SUB00141,02/27/26,Annual Premium,AU,OOH,CMP012,P+_OOH_NYC_Billboard,01/08/26,04/30/26,Mobile,66,NFL,Sports,Active,,12.46,10.0,False,False
SUB00142,02/20/26,Annual Essential,UK,Digital,CMP010,P+_Display_Retarget,01/15/26,03/31/26,Desktop,51,Lioness,Thriller,Active,,9.57,7.9,False,False
SUB00143,02/19/26,Annual Essential,US,Social,CMP016,P+_Instagram_Tracker,03/01/26,04/30/26,Roku,24,The Guest,Thriller,Active,,8.5,8.0,False,False
SUB00144,02/05/26,Paramount+ with Showtime,US,TV,CMP003,P+_TV_Landman_Launch,02/01/26,03/31/26,Smart TV,18,Sonic 3,Family,New,,11.82,3.9,False,True
SUB00145,02/15/26,Essential,US,Streaming,CMP007,P+_Stream_UFC_Promo,02/10/26,03/20/26,Smart TV,34,UFC,Sports,Reactivated,,15.04,8.1,True,False
SUB00146,02/08/26,Essential,US,Radio,CMP005,P+_Radio_Weekend_Q2,03/01/26,04/30/26,Desktop,39,The Madison,Drama,Churned,03/14/26,11.96,10.0,False,False
SUB00147,02/27/26,Paramount+ with Showtime,US,OOH,CMP013,P+_OOH_LA_Transit,02/01/26,04/15/26,Mobile,18,Mission Impossible,Action,At-Risk,,13.68,6.4,True,True
SUB00148,02/18/26,Annual Premium,MX,TV,CMP001,P+_TV_BrandAwareness_Q1,01/05/26,02/28/26,Desktop,37,MobLand,Drama,At-Risk,,9.41,2.0,True,False
SUB00149,02/15/26,Annual Essential,US,Streaming,CMP008,P+_Stream_YellowJackets,01/20/26,02/28/26,Roku,19,Tulsa King,Drama,Active,,7.3,,True,False
