,plan_encoded,country_encoded,acquisition_channel_encoded,primary_device_encoded,age_encoded,show_genre_encoded,lifecycle_stage_encoded,is_bundled_encoded,nps_score,has_showtime_add_on_encoded
553,3,1,3,3,35,1,4,1,9.4,1
554,3,3,3,5,0,2,3,1,5.2,1
555,0,0,1,4,19,1,3,0,4.3,0
556,2,4,3,0,31,2,0,1,7.7,0
557,2,4,2,0,14,1,3,0,5.6,0
558,3,2,0,5,42,2,2,0,6.4,1
559,1,4,2,5,41,2,0,1,8.7,0
560,1,4,0,4,25,1,0,0,6.4,0
561,2,4,3,0,24,7,2,0,6.4,0
562,0,4,5,2,13,6,0,1,6.9,0
563,1,1,5,4,16,5,0,0,7.8,0
564,3,4,5,2,32,5,0,1,3.5,1
565,1,1,0,5,47,7,0,0,4.3,1
566,1,2,4,0,27,2,3,1,6.4,0
567,0,2,4,4,26,0,0,0,7.9,1
568,0,4,4,5,25,2,0,0,6.0,0
569,3,1,3,3,46,4,3,0,6.2,1
570,2,4,4,5,35,4,0,1,6.2,0
571,1,2,0,0,31,7,0,1,5.3,0
572,1,4,1,3,24,0,3,0,6.9,0
573,0,2,2,3,13,3,3,1,7.6,0
574,3,4,0,4,30,1,0,0,7.9,1
