spend_id,campaign_id,channel,spend_date,amount
57,350,Streaming,10/28/24,"$49,335.45"
58,342,TV,9/29/23,"$35,622.25"
59,282,Streaming,2/15/24,"$14,872.93"
60,154,Radio,9/19/23,"$8,296.51"
61,364,Social,5/17/23,"$9,117.50"
62,186,Digital,4/18/23,"$11,599.96"
63,103,Radio,8/17/24,"$12,218.44"
64,253,Streaming,9/15/23,"$18,364.38"
65,294,Social,3/30/23,"$23,636.59"
66,283,Streaming,10/14/23,"$30,791.44"
67,45,Digital,8/29/24,"$15,809.89"
68,368,Digital,3/7/24,"$24,193.92"
69,211,OOH,6/15/24,"$20,766.96"
70,295,OOH,6/13/24,"$6,703.68"
71,163,Streaming,4/19/23,"$4,171.17"
72,239,Social,1/15/24,"$26,109.32"
73,66,Digital,4/16/23,"$32,169.80"
74,94,Streaming,4/29/23,"$21,914.61"
75,29,OOH,9/9/24,"$26,146.06"
76,156,Radio,2/17/23,"$8,517.36"
77,364,Social,4/21/23,"$17,628.14"
78,266,Streaming,6/6/24,"$42,373.72"
79,129,Social,10/26/23,"$31,935.33"
80,283,Streaming,10/18/23,"$6,695.93"
81,156,Radio,3/3/23,"$26,907.16"
82,258,Digital,7/3/24,"$8,847.48"
83,298,Radio,3/13/23,"$8,974.43"
84,320,Digital,12/6/23,"$45,149.04"
85,173,OOH,7/23/24,"$46,234.52"
86,22,Radio,11/19/23,"$4,520.53"
87,329,Radio,3/28/24,"$29,050.18"
88,334,Digital,6/6/24,"$38,464.47"
89,214,Streaming,2/10/23,"$32,130.06"
90,255,Social,2/12/24,"$27,506.09"
91,329,Radio,3/20/24,"$24,405.77"
92,351,Social,4/5/23,"$15,222.98"
93,38,Radio,9/7/23,"$8,324.98"
94,213,OOH,12/5/23,"$23,489.89"
95,175,Digital,10/4/23,"$7,611.60"
96,368,Digital,2/10/24,"$36,842.89"
97,177,Streaming,7/21/23,"$6,972.92"
98,190,OOH,4/14/24,"$28,301.74"
99,164,TV,8/21/24,"$23,590.39"
100,137,Digital,8/10/24,"$12,771.98"
101,50,Radio,2/22/24,"$14,865.49"
102,197,TV,10/4/24,"$21,197.67"
103,82,Digital,10/16/23,"$46,720.70"
104,370,Digital,1/29/23,"$9,896.79"
105,82,Digital,10/18/23,"$49,800.49"
106,240,TV,6/14/24,"$44,014.25"
107,255,Social,1/4/24,"$4,957.43"
108,202,Streaming,11/7/23,"$23,132.92"
109,124,Radio,12/4/23,"$29,375.53"
110,25,Digital,3/17/24,"$14,427.14"
111,306,TV,5/9/24,"$14,644.54"
112,5,Radio,2/3/23,"$21,830.92"
113,136,Radio,3/21/24,"$18,605.99"
114,207,Digital,5/19/24,"$2,739.50"
115,27,Radio,4/29/23,"$18,444.93"
116,148,Digital,9/13/23,"$19,624.27"
117,231,Streaming,12/13/23,"$14,346.17"
118,320,Digital,12/4/23,"$30,746.64"
119,66,Digital,3/18/23,"$19,998.23"
120,174,Social,12/22/23,"$46,977.95"
121,387,Digital,6/13/24,"$10,353.37"
122,261,Radio,6/15/23,"$25,253.86"
123,24,OOH,7/30/24,"$7,283.30"
124,171,Radio,5/1/23,"$23,950.34"
125,234,OOH,6/14/23,"$30,509.90"
126,264,Digital,12/9/23,"$16,734.31"
127,314,OOH,11/26/23,"$8,543.85"
128,316,Social,1/13/24,"$29,889.37"
129,260,Radio,8/15/23,"$26,850.82"
130,363,Social,3/31/23,"$15,339.63"
131,9,TV,12/16/23,"$16,896.36"
132,57,Digital,8/2/24,"$29,393.26"
133,372,TV,5/21/23,"$30,047.03"
134,136,Radio,3/16/24,"$39,253.75"
135,398,Radio,7/2/24,"$29,092.90"
136,370,Digital,1/20/23,"$29,384.40"
137,88,TV,1/18/24,"$31,636.75"
138,318,OOH,10/22/24,"$7,814.90"
139,349,OOH,6/4/24,"$2,062.74"
140,359,Digital,4/4/23,"$9,943.82"
141,226,OOH,10/30/23,"$21,229.62"
142,212,Social,2/20/23,"$20,813.68"
143,397,TV,10/2/23,"$43,704.48"
144,377,Radio,2/17/23,"$35,435.87"
145,266,Streaming,6/3/24,"$28,263.90"
146,340,Radio,12/14/23,"$26,511.12"
147,161,Streaming,10/3/24,"$23,253.34"
148,273,Digital,10/17/24,"$27,540.52"
149,347,OOH,6/22/23,"$34,196.92"
150,355,Streaming,4/19/23,"$30,698.79"
151,99,Social,7/10/24,"$14,310.82"
152,153,OOH,2/3/24,"$47,103.53"
153,153,OOH,2/7/24,"$35,392.60"
154,354,Radio,3/22/23,"$24,705.65"
155,246,Radio,9/30/23,"$28,244.14"
156,370,Digital,1/27/23,"$14,745.57"
157,294,Social,4/10/23,"$19,294.86"
158,203,Radio,4/15/23,"$47,753.14"
159,75,OOH,1/23/24,"$2,582.29"
160,366,Radio,5/27/23,"$17,644.99"
161,227,Radio,11/11/23,"$13,193.98"
162,246,Radio,9/21/23,"$10,502.37"
163,276,Digital,11/25/23,"$46,684.68"
164,357,Digital,7/20/23,"$7,295.01"
165,316,Social,1/31/24,"$12,344.46"
166,26,TV,6/24/23,"$11,670.75"
167,120,Streaming,1/9/23,"$5,459.80"
168,170,TV,6/16/24,"$23,883.99"
169,349,OOH,5/28/24,$756.48
170,282,Streaming,1/22/24,"$20,641.92"
171,244,TV,2/6/23,"$32,701.67"
172,388,TV,4/15/24,"$16,397.80"
173,331,TV,2/17/23,"$45,442.88"
174,46,TV,1/18/23,"$28,919.60"
175,274,Social,4/22/23,"$36,294.33"
176,20,Social,10/20/23,"$46,112.81"
177,214,Streaming,1/13/23,"$46,729.17"
178,19,TV,8/5/24,"$39,504.05"
179,96,Digital,8/31/23,"$43,898.79"
180,5,Radio,2/16/23,"$28,614.11"
181,55,TV,7/17/23,"$14,585.80"
182,329,Radio,3/24/24,"$26,453.77"
183,69,Social,9/21/24,"$23,667.03"
184,99,Social,7/28/24,"$6,076.01"
185,84,TV,4/11/24,"$32,590.12"
186,368,Digital,2/1/24,"$1,197.17"
187,173,OOH,7/22/24,"$15,103.70"
188,346,TV,2/12/24,"$10,061.48"
189,313,OOH,4/18/24,"$44,903.62"
190,219,Digital,10/17/24,"$16,732.37"
191,206,Digital,11/14/23,"$5,221.56"
192,72,OOH,3/23/23,"$16,518.28"
193,128,Radio,9/2/23,"$13,408.87"
194,121,TV,8/27/23,"$37,810.95"
195,169,Digital,3/11/24,"$29,331.81"
196,294,Social,3/7/23,"$13,446.88"
197,185,Streaming,5/15/24,"$12,196.98"
198,342,TV,9/14/23,"$23,537.05"
199,82,Digital,10/17/23,"$34,460.64"
200,361,Streaming,7/6/23,"$15,893.41"
201,61,Digital,9/1/24,"$45,848.45"
202,152,OOH,11/20/23,"$30,923.96"
203,113,Streaming,4/5/24,"$24,170.00"
204,233,Radio,6/15/24,"$49,447.48"
205,192,Digital,8/18/23,"$35,246.07"
206,242,Radio,5/7/23,"$40,198.75"
207,112,Streaming,8/31/24,"$34,176.93"
208,306,TV,4/14/24,"$26,512.58"
209,271,Streaming,5/2/24,"$18,408.35"
210,289,OOH,1/6/23,"$3,557.02"
211,281,Radio,4/16/24,"$10,506.76"
212,275,TV,2/25/24,"$8,644.59"
213,267,TV,11/27/23,"$6,253.88"
214,106,TV,1/19/24,"$29,365.81"
215,47,Digital,3/2/23,"$25,763.58"
216,29,OOH,10/1/24,"$7,031.24"
217,213,OOH,12/5/23,"$28,413.60"
218,287,Digital,8/30/23,"$33,802.00"
219,158,Streaming,1/14/23,"$20,099.46"
220,2,Radio,7/9/23,"$11,286.11"
221,38,Radio,9/6/23,"$21,473.02"
222,359,Digital,4/1/23,"$27,287.59"
223,31,Social,10/5/23,"$49,313.79"
224,242,Radio,4/5/23,"$14,710.99"
225,93,Radio,10/6/23,"$7,203.73"
226,329,Radio,3/27/24,"$32,471.10"
227,216,TV,6/17/24,"$49,646.40"
228,196,Radio,4/11/23,"$43,546.20"
229,194,TV,3/18/24,"$4,472.37"
230,339,TV,3/20/24,"$7,083.00"
231,179,Digital,4/20/23,"$9,334.44"
232,276,Digital,12/3/23,"$26,677.71"
233,373,Radio,6/17/24,"$41,823.67"
234,388,TV,4/6/24,"$48,935.29"
235,238,TV,10/20/23,"$36,095.15"
236,218,TV,4/27/24,"$19,274.19"
237,118,Radio,4/26/24,"$23,300.95"
238,80,Streaming,8/14/23,"$9,829.78"
239,372,TV,5/24/23,"$2,094.76"
240,339,TV,3/16/24,"$30,938.70"
241,9,TV,12/14/23,"$10,701.04"
242,52,Streaming,4/4/23,"$2,162.03"
243,307,Social,11/20/23,"$12,614.34"
244,23,Digital,4/26/24,"$22,228.66"
245,277,Social,7/10/24,"$37,842.09"
246,398,Radio,5/29/24,"$7,436.71"
247,149,TV,9/9/23,"$40,881.42"
248,375,Digital,6/20/23,"$16,285.73"
249,307,Social,12/7/23,"$12,226.75"
250,74,Digital,10/6/23,"$20,971.23"
251,141,Radio,9/1/24,"$28,057.55"
252,303,Radio,6/12/24,"$31,486.66"
253,219,Digital,10/20/24,"$25,033.23"
254,177,Streaming,7/21/23,"$39,397.33"
255,164,TV,9/19/24,"$21,108.07"
256,77,Social,7/30/24,"$19,134.78"
257,387,Digital,6/24/24,"$12,427.93"
258,116,TV,11/23/23,"$42,948.29"
259,74,Digital,10/13/23,"$45,779.69"
260,288,OOH,12/29/23,"$48,405.42"
261,286,OOH,9/11/23,"$19,726.74"
262,131,Digital,2/10/24,"$16,848.02"
263,41,OOH,10/27/23,"$42,433.10"
264,48,OOH,11/16/23,"$36,366.94"
265,98,Radio,10/14/23,"$13,788.85"
266,345,Social,8/4/24,"$30,344.64"
267,38,Radio,9/16/23,"$40,330.21"
268,301,Social,11/24/23,"$33,736.80"
269,112,Streaming,9/15/24,"$10,840.01"
270,171,Radio,4/15/23,"$47,872.48"
271,8,Digital,3/14/24,"$46,889.41"
272,380,Radio,5/2/24,"$37,470.52"
273,387,Digital,6/24/24,"$45,764.84"
274,357,Digital,7/31/23,"$35,336.54"
275,204,TV,12/12/23,"$27,827.92"
276,398,Radio,6/13/24,"$19,342.76"
277,274,Social,4/16/23,"$18,283.35"
278,134,OOH,2/26/24,"$25,884.42"
279,255,Social,2/1/24,"$5,381.11"
280,370,Digital,2/3/23,"$38,200.63"
281,164,TV,8/19/24,"$18,849.89"
282,212,Social,2/9/23,"$28,344.97"
283,114,OOH,8/9/23,"$7,723.17"
284,134,OOH,3/9/24,"$46,770.53"
285,297,TV,7/10/24,"$21,170.11"
286,79,Social,10/28/23,"$16,828.33"
287,195,Streaming,9/13/23,"$41,751.45"
288,256,TV,2/27/23,"$32,903.09"
289,351,Social,4/1/23,"$13,237.67"
290,251,TV,12/7/23,"$32,263.88"
291,252,Streaming,4/11/24,"$8,827.57"
292,181,TV,7/5/24,"$7,427.95"
293,280,Streaming,10/21/23,"$9,610.36"
294,278,Radio,7/10/24,"$26,435.25"
295,39,OOH,7/3/24,"$33,576.67"
296,392,Streaming,5/21/23,"$20,913.42"
297,323,Social,3/19/24,"$3,864.41"
298,78,Social,4/29/23,"$11,326.62"
299,234,OOH,6/28/23,"$3,492.28"
300,327,Social,4/9/24,"$33,134.57"
301,9,TV,12/11/23,"$26,844.52"
302,211,OOH,5/22/24,"$1,327.94"
303,370,Digital,1/27/23,"$27,019.04"
304,147,TV,3/13/23,"$25,359.69"
305,358,Social,4/1/23,"$40,405.30"
306,92,Radio,12/13/23,"$45,943.42"
307,269,TV,2/20/24,"$12,427.96"
308,318,OOH,10/31/24,"$12,994.70"
309,182,Streaming,7/28/24,"$39,849.35"
310,41,OOH,10/22/23,"$47,985.24"
311,236,Radio,5/19/23,"$12,538.79"
312,357,Digital,7/19/23,"$15,348.74"
313,42,Radio,9/4/23,"$49,587.90"
314,333,TV,10/13/23,"$2,068.38"
315,208,Streaming,9/15/24,"$19,169.89"
316,244,TV,1/30/23,"$32,019.03"
317,360,OOH,4/3/24,"$4,592.96"
318,223,Digital,10/28/23,"$28,509.90"
319,49,Streaming,6/18/23,"$45,998.03"
320,118,Radio,4/24/24,"$45,113.01"
321,355,Streaming,5/9/23,"$24,037.26"
322,24,OOH,8/1/24,"$34,379.22"
323,144,Streaming,12/29/23,"$27,380.02"
324,337,TV,2/15/23,"$9,378.05"
325,162,Digital,4/22/24,"$48,092.72"
326,301,Social,10/18/23,"$37,736.60"
327,365,OOH,9/21/24,"$46,479.31"
328,154,Radio,9/8/23,"$28,415.93"
329,291,Digital,2/8/23,"$34,013.23"
330,277,Social,7/14/24,"$19,500.39"
331,379,Social,4/8/24,"$39,629.66"
332,353,TV,4/9/23,"$4,382.17"
333,382,Digital,2/18/24,"$3,157.97"
334,224,Digital,4/26/24,"$42,014.40"
335,175,Digital,10/4/23,"$38,565.78"
336,305,Social,4/10/24,"$48,461.57"
337,168,Radio,6/13/24,"$31,889.09"
338,231,Streaming,12/11/23,"$11,792.85"
339,284,Radio,4/28/23,"$21,876.47"
340,349,OOH,6/13/24,"$4,741.86"
341,317,OOH,8/19/24,"$40,003.73"
342,366,Radio,5/27/23,"$4,560.88"
343,79,Social,11/9/23,"$35,728.02"
344,325,Digital,9/4/24,"$37,112.94"
345,163,Streaming,4/10/23,"$5,774.27"
346,3,TV,7/16/24,"$22,514.43"
347,390,Social,4/2/23,"$5,560.45"
348,45,Digital,9/5/24,"$21,833.49"
349,286,OOH,9/20/23,"$5,515.30"
350,46,TV,1/13/23,"$27,933.88"
351,306,TV,4/29/24,"$43,254.05"
352,7,Digital,10/30/23,"$20,983.60"
353,399,Digital,6/16/24,"$36,379.77"
354,287,Digital,8/16/23,"$28,812.04"
355,87,TV,3/5/23,"$19,346.24"
356,72,OOH,3/20/23,"$15,406.00"
357,253,Streaming,9/23/23,"$3,631.72"
358,223,Digital,10/24/23,"$21,344.57"
359,248,OOH,1/31/24,"$18,375.68"
360,127,Radio,11/26/23,"$31,439.17"
361,305,Social,3/28/24,"$23,164.15"
362,70,Social,8/17/23,$834.98
363,203,Radio,4/14/23,"$42,159.86"
364,195,Streaming,9/20/23,"$43,178.82"
365,226,OOH,10/31/23,"$21,815.50"
366,334,Digital,7/1/24,"$7,238.16"
367,165,Digital,6/9/24,"$47,390.31"
368,103,Radio,8/28/24,"$16,052.07"
369,204,TV,12/17/23,"$14,926.68"
370,356,OOH,9/26/24,"$24,804.86"
371,295,OOH,6/24/24,"$16,631.37"
372,144,Streaming,12/27/23,"$39,400.39"
373,187,TV,8/2/24,"$46,637.32"
374,103,Radio,8/31/24,"$49,864.61"
375,93,Radio,10/3/23,"$38,497.09"
376,14,Social,4/6/23,"$47,177.26"
377,108,Digital,12/29/23,"$39,985.43"
378,355,Streaming,4/7/23,"$41,038.80"
379,210,Radio,5/3/23,"$7,389.37"
380,156,Radio,2/19/23,"$13,007.74"
381,79,Social,11/30/23,"$21,444.83"
382,194,TV,2/27/24,"$22,728.80"
383,307,Social,12/17/23,"$29,321.08"
384,274,Social,4/7/23,"$46,213.04"
385,355,Streaming,4/29/23,"$27,410.44"
386,185,Streaming,5/15/24,"$44,827.33"
387,275,TV,3/3/24,"$32,089.93"
388,44,TV,9/14/23,"$38,563.23"
389,337,TV,3/7/23,"$8,733.76"
390,314,OOH,11/17/23,"$28,379.40"
391,331,TV,3/9/23,"$32,513.81"
392,386,Streaming,10/24/23,"$48,302.98"
393,221,TV,4/9/23,"$1,022.11"
394,133,Streaming,5/6/24,"$25,778.47"
395,266,Streaming,6/14/24,"$29,235.66"
396,295,OOH,6/23/24,"$22,566.04"
397,201,Streaming,5/23/24,"$38,730.94"
398,302,Streaming,3/10/24,"$25,273.06"
399,177,Streaming,7/9/23,"$24,397.17"
400,152,OOH,11/21/23,"$46,067.10"
