campaign_id,campaign_name,channel,start_date,end_date
154,Weekend Storm,Radio,9/6/23,9/19/23
155,Spring Sprint,OOH,9/6/24,11/3/24
156,Grand Drive,Radio,2/12/23,3/13/23
157,Flash Campaign,Social,1/15/24,1/26/24
158,Seasonal Frenzy,Streaming,1/13/23,2/15/23
159,Loyalty Run,Digital,1/6/24,2/22/24
160,Flash Campaign,Social,3/21/24,4/8/24
161,Grand Sprint,Streaming,9/22/24,11/19/24
162,Prime Time Wave,Digital,4/21/24,5/25/24
163,Loyalty Promo,Streaming,3/30/23,4/23/23
164,Awareness Wave,TV,8/6/24,9/21/24
165,Back to School Surge,Digital,5/21/24,6/17/24
166,Prime Time Wave,Social,12/30/23,2/26/24
167,Prime Time Boost,TV,9/2/24,10/23/24
168,Winter Promo,Radio,6/13/24,7/2/24
169,Grand Sprint,Digital,2/21/24,3/30/24
170,Seasonal Surge,TV,5/2/24,6/19/24
171,Oscar Drive,Radio,4/6/23,5/1/23
172,Relaunch Surge,OOH,9/7/23,10/3/23
173,Retargeting Run,OOH,6/27/24,7/26/24
174,Loyalty Blitz,Social,12/5/23,1/3/24
175,Spring Run,Digital,9/15/23,10/6/23
176,Grand Sprint,Radio,11/20/23,12/4/23
177,Super Bowl Run,Streaming,7/9/23,7/28/23
178,Flash Blast,Social,10/11/23,12/3/23
179,Super Bowl Blitz,Digital,4/13/23,6/12/23
180,Weekend Splash,Radio,1/5/24,1/23/24
181,Prime Time Splash,TV,6/30/24,7/15/24
182,Holiday Campaign,Streaming,7/20/24,8/14/24
183,Weekend Surge,Streaming,4/16/23,4/23/23
184,Back to School Splash,Social,3/27/24,4/24/24
185,Winter Drive,Streaming,5/4/24,5/18/24
186,Fall Push,Digital,3/17/23,4/29/23
187,Winter Promo,TV,7/30/24,8/25/24
188,Retargeting Blast,OOH,7/25/24,9/18/24
189,Flash Drive,Streaming,9/25/24,10/16/24
190,Retargeting Blitz,OOH,3/29/24,4/24/24
191,Spring Sprint,Digital,9/27/24,10/7/24
192,Winter Push,Digital,8/5/23,8/28/23
193,Winter Push,TV,6/27/23,8/8/23
194,Seasonal Blitz,TV,2/23/24,3/29/24
195,Weekend Run,Streaming,8/26/23,9/20/23
196,Oscar Blitz,Radio,3/14/23,5/3/23
197,Super Bowl Drive,TV,8/26/24,10/14/24
198,Holiday Blitz,Digital,7/11/24,8/1/24
199,Back to School Sprint,Social,3/15/23,3/25/23
200,Weekend Surge,TV,9/1/24,10/25/24
201,Weekend Run,Streaming,4/24/24,6/14/24
202,Grand Surge,Streaming,10/6/23,11/14/23
203,Fall Drive,Radio,3/24/23,5/8/23
204,Prime Time Splash,TV,11/27/23,1/11/24
205,Summer Sprint,Radio,8/23/23,10/12/23
206,Fall Sprint,Digital,10/3/23,11/15/23
207,Loyalty Blitz,Digital,4/26/24,6/5/24
208,Seasonal Frenzy,Streaming,8/22/24,9/25/24
209,Launch Wave,Radio,12/23/23,1/25/24
210,Launch Drive,Radio,4/18/23,5/5/23
211,Awareness Storm,OOH,5/22/24,6/16/24
212,Winter Wave,Social,2/7/23,3/15/23
213,Awareness Storm,OOH,11/28/23,12/12/23
214,Grand Surge,Streaming,1/2/23,2/20/23
215,Flash Wave,OOH,2/25/23,3/16/23
216,Loyalty Sprint,TV,5/25/24,7/11/24
217,Grand Push,Social,7/28/23,8/21/23
218,Seasonal Frenzy,TV,3/24/24,5/14/24
219,Oscar Run,Digital,9/15/24,11/12/24
220,Summer Boost,Streaming,11/15/23,12/27/23
221,Spring Surge,TV,4/6/23,4/27/23
222,Weekend Boost,Radio,6/7/23,7/15/23
223,Seasonal Surge,Digital,10/7/23,11/9/23
224,Holiday Drive,Digital,4/12/24,5/24/24
225,Holiday Storm,TV,9/5/24,10/14/24
226,Retargeting Wave,OOH,10/10/23,12/5/23
227,Summer Blitz,Radio,10/1/23,11/29/23
228,Seasonal Storm,Digital,11/2/23,1/1/24
229,Seasonal Wave,Social,4/2/24,5/13/24
230,Grand Drive,Streaming,7/19/24,9/12/24
231,Oscar Blast,Streaming,11/26/23,12/15/23
232,Retargeting Splash,Social,8/28/23,10/23/23
233,Awareness Drive,Radio,4/29/24,6/20/24
234,Fall Push,OOH,6/5/23,7/13/23
235,Spring Storm,Streaming,8/27/24,9/24/24
236,Loyalty Splash,Radio,4/13/23,5/23/23
237,Holiday Frenzy,Streaming,5/28/23,6/30/23
238,Awareness Campaign,TV,9/29/23,10/27/23
239,Grand Drive,Social,12/3/23,1/22/24
240,Fall Blast,TV,5/14/24,6/24/24
241,Weekend Promo,Radio,8/29/23,10/15/23
242,Spring Sprint,Radio,4/3/23,5/7/23
243,Back to School Run,Social,4/13/23,5/18/23
244,Launch Sprint,TV,1/30/23,2/8/23
245,Relaunch Drive,Digital,10/28/23,11/26/23
246,Retargeting Blast,Radio,9/8/23,10/18/23
247,Back to School Frenzy,OOH,7/4/23,7/21/23
248,Oscar Surge,OOH,1/27/24,3/13/24
249,Loyalty Campaign,Social,5/27/23,6/17/23
250,Summer Sprint,Streaming,4/15/24,5/8/24
251,Grand Push,TV,10/22/23,12/11/23
252,Weekend Campaign,Streaming,3/28/24,4/26/24
253,Weekend Promo,Streaming,9/14/23,10/20/23
254,Oscar Drive,OOH,5/9/24,5/22/24
255,Weekend Run,Social,1/3/24,2/15/24
256,Awareness Blitz,TV,1/23/23,3/24/23
257,Fall Blast,Radio,8/2/24,9/21/24
258,Weekend Sprint,Digital,5/23/24,7/22/24
259,Relaunch Promo,Radio,9/13/24,11/10/24
260,Prime Time Campaign,Radio,7/14/23,8/29/23
261,Spring Campaign,Radio,5/21/23,7/7/23
262,Loyalty Splash,OOH,2/10/23,3/8/23
263,Holiday Frenzy,Social,1/9/24,3/2/24
264,Retargeting Push,Digital,12/1/23,1/24/24
265,Grand Wave,OOH,5/16/23,7/12/23
266,Back to School Blitz,Streaming,5/28/24,6/21/24
267,Launch Sprint,TV,10/30/23,12/23/23
268,Holiday Sprint,Digital,4/24/24,5/5/24
269,Grand Wave,TV,2/11/24,4/9/24
270,Prime Time Boost,TV,2/9/24,2/16/24
271,Prime Time Blast,Streaming,4/10/24,5/10/24
272,Oscar Surge,TV,1/16/24,1/29/24
273,Launch Blast,Digital,9/26/24,11/7/24
274,Loyalty Run,Social,3/6/23,4/22/23
275,Holiday Splash,TV,2/23/24,3/8/24
276,Spring Frenzy,Digital,11/8/23,12/16/23
277,Awareness Surge,Social,7/4/24,7/19/24
278,Holiday Drive,Radio,7/7/24,8/9/24
279,Seasonal Blast,Streaming,4/12/23,6/11/23
280,Relaunch Promo,Streaming,10/14/23,10/23/23
281,Relaunch Frenzy,Radio,3/31/24,4/22/24
282,Relaunch Splash,Streaming,1/12/24,2/22/24
283,Spring Storm,Streaming,10/10/23,10/29/23
284,Super Bowl Campaign,Radio,4/4/23,5/23/23
285,Fall Sprint,Social,9/3/24,9/11/24
286,Super Bowl Frenzy,OOH,9/7/23,9/22/23
287,Super Bowl Storm,Digital,8/1/23,9/14/23
288,Holiday Sprint,OOH,12/3/23,1/28/24
289,Holiday Push,OOH,1/3/23,1/27/23
290,Back to School Frenzy,Radio,9/14/23,11/11/23
291,Summer Wave,Digital,1/27/23,2/11/23
292,Summer Push,Social,8/25/24,9/21/24
293,Retargeting Boost,TV,2/23/23,3/10/23
294,Loyalty Sprint,Social,3/7/23,4/13/23
295,Spring Surge,OOH,6/9/24,7/23/24
296,Fall Run,Radio,8/15/23,9/30/23
297,Loyalty Campaign,TV,6/17/24,7/13/24
298,Awareness Drive,Radio,3/4/23,4/10/23
299,Loyalty Frenzy,TV,4/21/23,5/29/23
300,Holiday Frenzy,Digital,11/26/23,1/10/24
301,Grand Run,Social,10/9/23,11/24/23
302,Flash Blitz,Streaming,1/26/24,3/11/24
303,Retargeting Frenzy,Radio,6/1/24,7/16/24
304,Grand Run,Digital,4/28/23,6/15/23
305,Oscar Drive,Social,3/16/24,4/20/24
306,Retargeting Run,TV,4/9/24,5/11/24
307,Launch Campaign,Social,11/17/23,12/21/23
308,Seasonal Frenzy,TV,1/19/24,2/4/24
309,Retargeting Frenzy,Radio,3/29/23,4/10/23
310,Holiday Boost,TV,1/17/24,3/15/24
311,Grand Wave,Radio,8/23/24,10/4/24
312,Relaunch Storm,Radio,5/6/23,6/8/23
313,Fall Blitz,OOH,3/9/24,5/1/24
314,Spring Blast,OOH,11/16/23,12/15/23
315,Seasonal Promo,TV,8/6/23,8/22/23
316,Relaunch Frenzy,Social,12/25/23,2/5/24
317,Retargeting Storm,OOH,8/10/24,8/31/24
318,Grand Splash,OOH,9/28/24,11/13/24
319,Back to School Blitz,Radio,10/1/23,10/9/23
320,Relaunch Splash,Digital,11/13/23,12/11/23
321,Awareness Frenzy,Digital,5/27/23,7/9/23
322,Flash Promo,Streaming,2/1/23,2/13/23
323,Launch Push,Social,3/5/24,4/10/24
324,Launch Sprint,OOH,11/16/23,1/8/24
325,Fall Push,Digital,9/2/24,9/14/24
326,Winter Blitz,Streaming,9/24/24,10/4/24
327,Loyalty Drive,Social,3/10/24,4/17/24
328,Flash Frenzy,Social,8/9/23,10/3/23
329,Weekend Campaign,Radio,3/16/24,3/30/24
330,Flash Campaign,Social,8/30/24,10/7/24
331,Awareness Blast,TV,2/16/23,3/9/23
332,Weekend Promo,Digital,1/8/23,1/28/23
333,Launch Frenzy,TV,9/19/23,10/14/23
334,Retargeting Push,Digital,5/24/24,7/17/24
335,Oscar Boost,OOH,1/25/24,3/6/24
336,Awareness Storm,Radio,12/29/23,1/9/24
337,Summer Surge,TV,2/13/23,3/19/23
338,Retargeting Blast,Streaming,11/17/23,12/30/23
339,Spring Drive,TV,3/3/24,3/28/24
340,Loyalty Storm,Radio,11/29/23,12/16/23
341,Retargeting Storm,TV,1/6/24,1/18/24
342,Awareness Boost,TV,9/7/23,10/11/23
343,Launch Promo,Social,2/10/24,3/7/24
344,Flash Campaign,TV,6/22/23,7/3/23
345,Super Bowl Sprint,Social,6/27/24,8/5/24
346,Holiday Promo,TV,12/26/23,2/17/24
347,Super Bowl Push,OOH,5/30/23,6/22/23
348,Winter Push,Radio,6/6/23,7/31/23
349,Loyalty Campaign,OOH,5/20/24,6/25/24
350,Launch Push,Streaming,10/1/24,10/28/24
351,Loyalty Campaign,Social,3/11/23,4/17/23
352,Fall Wave,OOH,10/9/23,11/22/23
353,Loyalty Surge,TV,3/17/23,4/12/23
354,Weekend Frenzy,Radio,2/28/23,3/30/23
355,Flash Drive,Streaming,4/3/23,5/19/23
356,Fall Surge,OOH,8/17/24,9/28/24
357,Seasonal Boost,Digital,7/12/23,8/8/23
358,Spring Sprint,Social,3/5/23,4/9/23
359,Back to School Splash,Digital,3/28/23,5/6/23
360,Flash Boost,OOH,3/24/24,4/28/24
361,Relaunch Blitz,Streaming,6/12/23,7/12/23
362,Launch Campaign,OOH,2/23/24,4/19/24
363,Launch Frenzy,Social,2/23/23,4/21/23
364,Awareness Blitz,Social,4/7/23,5/19/23
365,Launch Frenzy,OOH,9/9/24,9/25/24
366,Weekend Campaign,Radio,5/25/23,6/23/23
367,Winter Blitz,OOH,2/6/24,2/21/24
368,Launch Storm,Digital,1/21/24,3/9/24
369,Retargeting Boost,Social,6/23/24,7/5/24
370,Weekend Push,Digital,1/19/23,2/18/23
371,Seasonal Promo,Digital,12/16/23,2/10/24
372,Winter Blitz,TV,5/21/23,6/6/23
373,Grand Storm,Radio,6/3/24,7/29/24
374,Launch Sprint,OOH,6/23/24,7/2/24
375,Awareness Push,Digital,5/15/23,6/29/23
376,Back to School Run,Streaming,7/5/23,9/3/23
377,Relaunch Campaign,Radio,2/14/23,3/19/23
378,Weekend Sprint,Radio,9/1/23,10/6/23
379,Grand Promo,Social,4/4/24,4/25/24
380,Super Bowl Wave,Radio,4/25/24,6/24/24
381,Loyalty Sprint,Social,8/7/24,9/11/24
382,Flash Drive,Digital,1/27/24,3/6/24
383,Holiday Storm,Social,7/24/23,9/20/23
384,Seasonal Storm,Social,2/23/23,4/12/23
385,Flash Storm,TV,7/21/24,8/3/24
386,Back to School Blitz,Streaming,10/19/23,10/31/23
387,Retargeting Frenzy,Digital,6/9/24,6/25/24
388,Summer Drive,TV,4/6/24,5/5/24
389,Relaunch Promo,Streaming,2/10/24,3/20/24
390,Oscar Splash,Social,3/25/23,4/24/23
391,Launch Sprint,Digital,4/12/23,6/11/23
392,Weekend Storm,Streaming,5/21/23,5/30/23
393,Seasonal Surge,OOH,5/23/23,7/17/23
394,Summer Blitz,Digital,1/6/23,1/18/23
395,Flash Drive,TV,6/3/23,7/15/23
396,Weekend Frenzy,TV,10/23/23,11/14/23
397,Loyalty Frenzy,TV,9/2/23,10/5/23
398,Grand Splash,Radio,5/26/24,7/10/24
399,Oscar Run,Digital,6/11/24,7/24/24
400,Summer Blast,Social,10/26/23,11/29/23
