subscriber_id,signup_date,plan,country,acquisition_channel,campaign_id,campaign_start_date,campaign_end_date,primary_device,age,signup_show,show_genre,lifecycle_stage,churn_date,monthly_spend_usd,is_bundled,has_showtime_add_on,total_spend,total_signups,avg_roas,plan_price
SUB00046,02/15/26,Annual Essential,MX,OOH,CMP012,01/08/26,04/30/26,Desktop,59,The Curse,Comedy,Active,,5.56,True,False,46356.88,40,0.12,7.5
SUB00047,02/17/26,Paramount+ with Showtime,US,Social,CMP016,03/01/26,04/30/26,Smart TV,49,Coldwater,Drama,Active,,14.32,False,True,13079.15,14,0.15,13.99
SUB00048,02/25/26,Annual Premium,US,Radio,CMP005,03/01/26,04/30/26,Mobile,56,Coldwater,Drama,Churned,04/25/26,10.31,True,False,22144.53,14,0.09,11.67
SUB00049,02/05/26,Annual Essential,US,OOH,CMP012,01/08/26,04/30/26,Mobile,41,Elsbeth,Procedural,Active,,6.2,True,False,46356.88,40,0.12,7.5
SUB00050,02/02/26,Paramount+ with Showtime,US,Radio,CMP005,03/01/26,04/30/26,Fire TV,19,Tracker,Action,Active,,14.2,False,True,22144.53,14,0.09,13.99
SUB00051,02/10/26,Paramount+ with Showtime,UK,Social,CMP015,02/05/26,04/05/26,Mobile,41,South Park,Comedy,Active,,14.03,False,True,22618.05,24,0.15,13.99
SUB00052,02/01/26,Annual Premium,UK,TV,CMP002,01/10/26,02/15/26,Smart TV,41,The Offer,Drama,At-Risk,,11.66,False,False,61748.08,36,0.08,11.67
SUB00053,02/19/26,Annual Essential,MX,Digital,CMP010,01/15/26,03/31/26,Roku,64,NFL,Sports,Churned,04/06/26,4.34,False,False,40279.22,40,0.14,7.5
SUB00054,02/25/26,Essential,US,TV,CMP002,01/10/26,02/15/26,Roku,47,South Park,Comedy,Active,,14.34,True,False,61748.08,36,0.08,13.99
SUB00055,02/02/26,Paramount+ with Showtime,UK,TV,CMP003,02/01/26,03/31/26,Tablet,54,The Guest,Thriller,Churned,03/06/26,13.82,True,True,41503.22,26,0.09,13.99
SUB00056,02/05/26,Essential,UK,OOH,CMP012,01/08/26,04/30/26,Fire TV,43,Paw Patrol,Family,Reactivated,,16.45,False,False,46356.88,40,0.12,13.99
SUB00057,02/23/26,Essential,UK,TV,CMP003,02/01/26,03/31/26,Mobile,34,Lioness,Thriller,Active,,13.06,True,False,41503.22,26,0.09,13.99
SUB00058,02/13/26,Annual Premium,UK,OOH,CMP013,02/01/26,04/15/26,Smart TV,26,Boston Blue,Procedural,Active,,12.33,False,False,27040.0,25,0.13,11.67
SUB00059,02/26/26,Essential,CA,Digital,CMP009,01/01/26,04/30/26,Roku,41,Boston Blue,Procedural,Active,,14.02,False,False,70866.81,75,0.1475,13.99
SUB00060,02/27/26,Annual Premium,US,TV,CMP002,01/10/26,02/15/26,Mobile,58,Love & Hip Hop Miami,Reality,Active,,14.53,False,True,61748.08,36,0.08,11.67
SUB00061,02/09/26,Paramount+ with Showtime,US,TV,CMP003,02/01/26,03/31/26,Mobile,46,The Agency,Thriller,Active,,13.16,False,True,41503.22,26,0.09,13.99
SUB00062,02/09/26,Annual Premium,MX,TV,CMP001,01/05/26,02/28/26,Desktop,44,Elsbeth,Procedural,Churned,03/19/26,9.32,True,False,56894.89,36,0.0849999999999999,11.67
SUB00063,02/12/26,Paramount+ with Showtime,CA,TV,CMP001,01/05/26,02/28/26,Tablet,44,Ghosts,Comedy,Active,,12.65,True,True,56894.89,36,0.0849999999999999,13.99
SUB00064,02/14/26,Paramount+ with Showtime,AU,Digital,CMP011,02/15/26,04/01/26,Tablet,18,Paw Patrol,Family,New,,14.24,True,True,45566.52,49,0.15,13.99
SUB00065,02/08/26,Annual Essential,CA,Digital,CMP011,02/15/26,04/01/26,Mobile,40,The Madison,Drama,New,,6.85,True,False,45566.52,49,0.15,7.5
SUB00066,02/09/26,Annual Essential,US,Social,CMP015,02/05/26,04/05/26,Tablet,43,Tracker,Action,Active,,7.73,False,False,22618.05,24,0.15,7.5
SUB00067,02/24/26,Annual Essential,US,Digital,CMP010,01/15/26,03/31/26,Smart TV,38,The Agency,Thriller,Reactivated,,7.3,True,False,40279.22,40,0.14,7.5
SUB00068,02/09/26,Annual Essential,CA,OOH,CMP012,01/08/26,04/30/26,Roku,45,Lioness,Thriller,Active,,8.07,True,True,46356.88,40,0.12,7.5
SUB00069,02/16/26,Essential,US,Radio,CMP005,03/01/26,04/30/26,Mobile,18,Boomerang,Comedy,Churned,03/28/26,12.46,True,True,22144.53,14,0.09,13.99
SUB00070,02/02/26,Essential,US,TV,CMP003,02/01/26,03/31/26,Fire TV,45,Criminal Minds,Procedural,Churned,02/21/26,16.59,False,False,41503.22,26,0.09,13.99
SUB00071,02/25/26,Annual Essential,US,Radio,CMP004,01/06/26,03/15/26,Fire TV,45,Dexter,Thriller,New,,8.79,False,False,41237.74,27,0.09,7.5
SUB00072,02/04/26,Paramount+ with Showtime,US,Social,CMP016,03/01/26,04/30/26,Desktop,47,Tulsa King,Drama,Active,,14.91,False,True,13079.15,14,0.15,13.99
SUB00073,02/15/26,Essential,US,Digital,CMP010,01/15/26,03/31/26,Fire TV,27,The Agency,Thriller,Active,,13.5,False,False,40279.22,40,0.14,13.99
SUB00074,02/09/26,Paramount+ with Showtime,US,Streaming,CMP006,01/12/26,04/15/26,Mobile,39,The Curse,Comedy,Active,,12.22,True,True,69517.64,55,0.11,13.99
SUB00075,02/03/26,Annual Essential,CA,Radio,CMP004,01/06/26,03/15/26,Desktop,47,The Offer,Drama,Active,,6.82,False,False,41237.74,27,0.09,7.5
SUB00076,02/17/26,Annual Premium,CA,Social,CMP015,02/05/26,04/05/26,Tablet,53,The Curse,Comedy,Active,,10.78,False,False,22618.05,24,0.15,11.67
SUB00077,02/22/26,Paramount+ with Showtime,CA,TV,CMP001,01/05/26,02/28/26,Mobile,27,Watson,Procedural,Active,,12.62,True,True,56894.89,36,0.0849999999999999,13.99
SUB00078,02/06/26,Annual Essential,UK,Digital,CMP010,01/15/26,03/31/26,Tablet,41,The Agency,Thriller,New,,7.52,False,False,40279.22,40,0.14,7.5
SUB00079,02/28/26,Paramount+ with Showtime,AU,OOH,CMP012,01/08/26,04/30/26,Desktop,68,Tracker,Action,Active,,12.57,True,True,46356.88,40,0.12,13.99
SUB00080,02/09/26,Paramount+ with Showtime,US,Digital,CMP010,01/15/26,03/31/26,Desktop,40,Landman,Drama,Churned,03/11/26,13.63,False,True,40279.22,40,0.14,13.99
SUB00081,02/20/26,Annual Essential,AU,OOH,CMP013,02/01/26,04/15/26,Mobile,26,The Curse,Comedy,Churned,04/19/26,6.9,False,False,27040.0,25,0.13,7.5
SUB00082,02/16/26,Paramount+ with Showtime,US,Streaming,CMP008,01/20/26,02/28/26,Smart TV,50,NCIS,Procedural,Active,,13.84,False,True,33297.18,27,0.11,13.99
SUB00083,02/15/26,Annual Premium,CA,Radio,CMP004,01/06/26,03/15/26,Mobile,31,Dutton Ranch,Drama,Active,,12.91,False,True,41237.74,27,0.09,11.67
SUB00084,02/08/26,Annual Essential,US,Digital,CMP010,01/15/26,03/31/26,Tablet,43,Elsbeth,Procedural,New,,8.36,False,False,40279.22,40,0.14,7.5
SUB00085,02/11/26,Essential,US,Social,CMP015,02/05/26,04/05/26,Smart TV,67,NFL,Sports,At-Risk,,13.37,False,False,22618.05,24,0.15,13.99
SUB00086,02/18/26,Paramount+ with Showtime,AU,Streaming,CMP007,02/10/26,03/20/26,Mobile,31,Boomerang,Comedy,Active,,13.79,False,True,39937.36,33,0.115,13.99
SUB00087,02/19/26,Paramount+ with Showtime,MX,TV,CMP001,01/05/26,02/28/26,Desktop,44,Paw Patrol,Family,Reactivated,,12.01,False,True,56894.89,36,0.0849999999999999,13.99
SUB00088,02/05/26,Annual Premium,US,Streaming,CMP008,01/20/26,02/28/26,Mobile,37,South Park,Comedy,New,,10.43,False,False,33297.18,27,0.11,11.67
SUB00089,02/24/26,Essential,US,Social,CMP014,01/10/26,03/10/26,Tablet,34,Coldwater,Drama,Churned,03/15/26,13.66,True,False,25458.31,29,0.16,13.99
SUB00090,02/28/26,Annual Essential,US,TV,CMP003,02/01/26,03/31/26,Tablet,18,Criminal Minds,Procedural,Active,,7.4,False,False,41503.22,26,0.09,7.5
SUB00091,02/08/26,Annual Premium,CA,TV,CMP002,01/10/26,02/15/26,Smart TV,58,1923,Drama,Active,,12.14,True,False,61748.08,36,0.08,11.67
SUB00092,02/01/26,Paramount+ with Showtime,US,Digital,CMP010,01/15/26,03/31/26,Mobile,38,Coldwater,Drama,Churned,02/13/26,12.7,True,True,40279.22,40,0.14,13.99
SUB00093,02/06/26,Essential,US,TV,CMP001,01/05/26,02/28/26,Roku,40,Dexter,Thriller,Active,,14.14,False,False,56894.89,36,0.0849999999999999,13.99
SUB00094,02/09/26,Annual Premium,CA,Radio,CMP005,03/01/26,04/30/26,Desktop,32,Mission Impossible,Action,Churned,04/02/26,10.34,True,False,22144.53,14,0.09,11.67
SUB00095,02/21/26,Annual Premium,UK,Digital,CMP010,01/15/26,03/31/26,Smart TV,60,Coldwater,Drama,Active,,14.28,False,False,40279.22,40,0.14,11.67
SUB00096,02/19/26,Annual Essential,US,Streaming,CMP007,02/10/26,03/20/26,Roku,18,The Guest,Thriller,Reactivated,,7.36,True,False,39937.36,33,0.115,7.5
SUB00097,02/25/26,Annual Essential,US,Digital,CMP010,01/15/26,03/31/26,Desktop,41,Tulsa King,Drama,Active,,7.41,False,False,40279.22,40,0.14,7.5
SUB00098,02/02/26,Annual Essential,US,Digital,CMP011,02/15/26,04/01/26,Roku,31,NFL,Sports,At-Risk,,8.22,False,False,45566.52,49,0.15,7.5
SUB00099,02/06/26,Paramount+ with Showtime,CA,Digital,CMP010,01/15/26,03/31/26,Roku,42,NCIS,Procedural,Active,,14.1,True,True,40279.22,40,0.14,13.99
SUB00100,02/26/26,Annual Premium,AU,Streaming,CMP007,02/10/26,03/20/26,Smart TV,42,Elsbeth,Procedural,New,,12.77,False,False,39937.36,33,0.115,11.67
SUB00101,02/28/26,Annual Premium,AU,TV,CMP002,01/10/26,02/15/26,Fire TV,26,The Offer,Drama,Active,,12.43,False,False,61748.08,36,0.08,11.67
SUB00102,02/19/26,Paramount+ with Showtime,MX,OOH,CMP013,02/01/26,04/15/26,Tablet,46,The Curse,Comedy,New,,12.87,False,True,27040.0,25,0.13,13.99
SUB00103,02/21/26,Annual Essential,US,Digital,CMP009,01/01/26,04/30/26,Roku,55,Ghosts,Comedy,New,,8.31,False,False,70866.81,75,0.1475,7.5
SUB00104,02/08/26,Annual Premium,US,TV,CMP001,01/05/26,02/28/26,Fire TV,35,Landman,Drama,Active,,12.23,True,False,56894.89,36,0.0849999999999999,11.67
SUB00105,02/21/26,Essential,US,Digital,CMP010,01/15/26,03/31/26,Mobile,49,Dexter,Thriller,At-Risk,,15.61,False,False,40279.22,40,0.14,13.99
SUB00106,02/28/26,Paramount+ with Showtime,US,Streaming,CMP006,01/12/26,04/15/26,Fire TV,38,Mayor of Kingstown,Drama,At-Risk,,13.97,False,True,69517.64,55,0.11,13.99
SUB00107,02/03/26,Annual Premium,US,Digital,CMP010,01/15/26,03/31/26,Tablet,42,Elsbeth,Procedural,Active,,11.45,True,False,40279.22,40,0.14,11.67
SUB00108,02/03/26,Annual Essential,CA,OOH,CMP012,01/08/26,04/30/26,Fire TV,46,The Chi,Drama,At-Risk,,9.23,False,False,46356.88,40,0.12,7.5
SUB00109,02/18/26,Annual Essential,CA,Radio,CMP004,01/06/26,03/15/26,Tablet,23,Dutton Ranch,Drama,At-Risk,,7.48,True,False,41237.74,27,0.09,7.5
SUB00110,02/02/26,Essential,CA,OOH,CMP013,02/01/26,04/15/26,Roku,49,The Chi,Drama,Active,,14.67,False,True,27040.0,25,0.13,13.99
SUB00111,02/15/26,Paramount+ with Showtime,US,OOH,CMP012,01/08/26,04/30/26,Desktop,37,Lioness,Thriller,Active,,14.05,False,True,46356.88,40,0.12,13.99
SUB00112,02/14/26,Annual Premium,US,Digital,CMP010,01/15/26,03/31/26,Smart TV,28,The Madison,Drama,Active,,11.18,True,False,40279.22,40,0.14,11.67
SUB00113,02/20/26,Paramount+ with Showtime,UK,OOH,CMP013,02/01/26,04/15/26,Fire TV,26,Mission Impossible,Action,Active,,14.18,True,True,27040.0,25,0.13,13.99
SUB00114,02/04/26,Annual Essential,US,Social,CMP016,03/01/26,04/30/26,Smart TV,30,Love & Hip Hop Miami,Reality,Active,,7.62,False,True,13079.15,14,0.15,7.5
SUB00115,02/14/26,Annual Essential,MX,Digital,CMP010,01/15/26,03/31/26,Roku,41,The Offer,Drama,Active,,5.69,False,False,40279.22,40,0.14,7.5
SUB00116,02/03/26,Paramount+ with Showtime,US,Streaming,CMP006,01/12/26,04/15/26,Tablet,41,The Guest,Thriller,Reactivated,,12.19,True,True,69517.64,55,0.11,13.99
SUB00117,02/28/26,Annual Essential,US,Radio,CMP005,03/01/26,04/30/26,Smart TV,27,Tracker,Action,Active,,7.73,False,False,22144.53,14,0.09,7.5
SUB00118,02/28/26,Essential,US,Streaming,CMP006,01/12/26,04/15/26,Tablet,58,Love & Hip Hop Miami,Reality,Active,,13.93,True,False,69517.64,55,0.11,13.99
SUB00119,02/20/26,Annual Premium,US,Streaming,CMP008,01/20/26,02/28/26,Smart TV,37,Yellowjackets,Drama,Active,,11.63,False,False,33297.18,27,0.11,11.67
SUB00120,02/12/26,Annual Essential,CA,Digital,CMP010,01/15/26,03/31/26,Mobile,33,The Agency,Thriller,Active,,6.08,True,False,40279.22,40,0.14,7.5
SUB00121,02/14/26,Annual Premium,CA,TV,CMP002,01/10/26,02/15/26,Fire TV,45,The Madison,Drama,Active,,11.27,True,False,61748.08,36,0.08,11.67
SUB00122,02/22/26,Essential,US,Streaming,CMP006,01/12/26,04/15/26,Smart TV,43,Tulsa King,Drama,New,,13.46,True,False,69517.64,55,0.11,13.99
SUB00123,02/12/26,Paramount+ with Showtime,US,Social,CMP014,01/10/26,03/10/26,Desktop,41,Mayor of Kingstown,Drama,Active,,14.27,False,True,25458.31,29,0.16,13.99
SUB00124,02/02/26,Paramount+ with Showtime,CA,TV,CMP003,02/01/26,03/31/26,Smart TV,27,Landman,Drama,At-Risk,,13.63,True,True,41503.22,26,0.09,13.99
SUB00125,02/06/26,Paramount+ with Showtime,US,Radio,CMP005,03/01/26,04/30/26,Tablet,58,UFC,Sports,Active,,16.02,True,True,22144.53,14,0.09,13.99
SUB00126,02/01/26,Annual Essential,US,Social,CMP015,02/05/26,04/05/26,Mobile,27,1923,Drama,Churned,03/12/26,6.58,False,False,22618.05,24,0.15,7.5
SUB00127,02/06/26,Annual Premium,CA,Social,CMP015,02/05/26,04/05/26,Desktop,68,Dexter,Thriller,At-Risk,,10.59,True,False,22618.05,24,0.15,11.67
SUB00128,02/03/26,Annual Essential,AU,Streaming,CMP008,01/20/26,02/28/26,Fire TV,29,RuPaul Drag Race All Stars,Reality,Active,,6.41,True,False,33297.18,27,0.11,7.5
SUB00129,02/25/26,Paramount+ with Showtime,US,Streaming,CMP006,01/12/26,04/15/26,Roku,27,UFC,Sports,Active,,14.3,False,True,69517.64,55,0.11,13.99
SUB00130,02/06/26,Annual Essential,AU,Radio,CMP004,01/06/26,03/15/26,Roku,64,Watson,Procedural,Active,,7.37,True,False,41237.74,27,0.09,7.5
SUB00131,02/15/26,Annual Essential,US,Social,CMP014,01/10/26,03/10/26,Smart TV,25,Ghosts,Comedy,Active,,6.34,False,False,25458.31,29,0.16,7.5
SUB00132,02/15/26,Paramount+ with Showtime,US,Streaming,CMP007,02/10/26,03/20/26,Smart TV,63,Love & Hip Hop Miami,Reality,Active,,13.77,True,True,39937.36,33,0.115,13.99
SUB00133,02/18/26,Paramount+ with Showtime,US,Digital,CMP011,02/15/26,04/01/26,Fire TV,18,Love & Hip Hop Miami,Reality,At-Risk,,13.95,False,True,45566.52,49,0.15,13.99
SUB00134,02/04/26,Annual Essential,US,Social,CMP015,02/05/26,04/05/26,Mobile,55,The Guest,Thriller,Active,,7.12,False,False,22618.05,24,0.15,7.5
SUB00135,02/17/26,Annual Premium,UK,OOH,CMP013,02/01/26,04/15/26,Smart TV,38,Landman,Drama,At-Risk,,11.32,True,False,27040.0,25,0.13,11.67
SUB00136,02/21/26,Essential,US,Streaming,CMP008,01/20/26,02/28/26,Desktop,46,Tracker,Action,Active,,13.97,False,True,33297.18,27,0.11,13.99
SUB00137,02/22/26,Paramount+ with Showtime,CA,TV,CMP003,02/01/26,03/31/26,Tablet,39,Mission Impossible,Action,Active,,14.07,True,True,41503.22,26,0.09,13.99
SUB00138,02/21/26,Paramount+ with Showtime,UK,Digital,CMP010,01/15/26,03/31/26,Mobile,22,MobLand,Drama,Active,,14.71,True,True,40279.22,40,0.14,13.99
SUB00139,02/01/26,Annual Premium,CA,Digital,CMP010,01/15/26,03/31/26,Mobile,42,MobLand,Drama,Churned,03/06/26,11.66,False,False,40279.22,40,0.14,11.67
SUB00140,02/17/26,Annual Premium,US,TV,CMP001,01/05/26,02/28/26,Roku,39,NFL,Sports,Active,,11.58,True,False,56894.89,36,0.0849999999999999,11.67
SUB00141,02/27/26,Annual Premium,AU,OOH,CMP012,01/08/26,04/30/26,Mobile,66,NFL,Sports,Active,,12.46,False,False,46356.88,40,0.12,11.67
SUB00142,02/20/26,Annual Essential,UK,Digital,CMP010,01/15/26,03/31/26,Desktop,51,Lioness,Thriller,Active,,9.57,False,False,40279.22,40,0.14,7.5
SUB00143,02/19/26,Annual Essential,US,Social,CMP016,03/01/26,04/30/26,Roku,24,The Guest,Thriller,Active,,8.5,False,False,13079.15,14,0.15,7.5
SUB00144,02/05/26,Paramount+ with Showtime,US,TV,CMP003,02/01/26,03/31/26,Smart TV,18,Sonic 3,Family,New,,11.82,False,True,41503.22,26,0.09,13.99
SUB00145,02/15/26,Essential,US,Streaming,CMP007,02/10/26,03/20/26,Smart TV,34,UFC,Sports,Reactivated,,15.04,True,False,39937.36,33,0.115,13.99
SUB00146,02/08/26,Essential,US,Radio,CMP005,03/01/26,04/30/26,Desktop,39,The Madison,Drama,Churned,03/14/26,11.96,False,False,22144.53,14,0.09,13.99
SUB00147,02/27/26,Paramount+ with Showtime,US,OOH,CMP013,02/01/26,04/15/26,Mobile,18,Mission Impossible,Action,At-Risk,,13.68,True,True,27040.0,25,0.13,13.99
SUB00148,02/18/26,Annual Premium,MX,TV,CMP001,01/05/26,02/28/26,Desktop,37,MobLand,Drama,At-Risk,,9.41,True,False,56894.89,36,0.0849999999999999,11.67
SUB00149,02/15/26,Annual Essential,US,Streaming,CMP008,01/20/26,02/28/26,Roku,19,Tulsa King,Drama,Active,,7.3,True,False,33297.18,27,0.11,7.5
SUB00150,02/20/26,Annual Premium,US,Social,CMP014,01/10/26,03/10/26,Fire TV,24,The Chi,Drama,At-Risk,,10.58,False,False,25458.31,29,0.16,11.67
SUB00151,02/26/26,Annual Essential,US,Digital,CMP011,02/15/26,04/01/26,Fire TV,37,Lioness,Thriller,New,,6.39,True,False,45566.52,49,0.15,7.5
SUB00152,02/12/26,Annual Essential,US,TV,CMP001,01/05/26,02/28/26,Fire TV,45,Lioness,Thriller,At-Risk,,6.46,True,True,56894.89,36,0.0849999999999999,7.5
SUB00153,02/06/26,Annual Essential,US,Social,CMP016,03/01/26,04/30/26,Mobile,36,NFL,Sports,At-Risk,,6.46,True,False,13079.15,14,0.15,7.5
